No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
340	＋α	相続税 葬儀費用 お布施	33	70	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
341	＋α	相続税 相続放棄	43	320	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
342	＋α	相続税 対策	33	4400	記事	Know（相続税対策を知りたい）	手続き・対策	解説	解説記事	節税対策	相続税_節税対策		権威構築	補足
343	＋α	相続税 誰が払う	30	880	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
344	＋α	相続税 対象	33	480	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
345	＋α	相続税 高すぎる	31	260	記事	Know（相続税の金額を知りたい）	金額別	解説	ガイド記事	金額	相続税_金額		権威構築	補足
346	＋α	相続税 建物 評価	40	390	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税_不動産評価		権威構築	補足
347	＋α	相続税 退職金	27	320	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
348	＋α	相続税 他人	33	110	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
349	＋α	相続税 対策 不動産	33	1300	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税不動産	相続税の相続時の計算・手続き	権威構築	必須	計算ツール
350	＋α	相続税 建物	50	320	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
351	＋α	相続税 誰に相談	33	140	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
352	＋α	相続税 チェックシート	39	480	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
353	＋α	相続税 チェックシート 令和7年	31	140	記事	Know（期間別の相続税を知りたい）	時期・スケジュール	解説	ガイド記事	期間別	相続税_期間別		権威構築	補足
354	＋α	相続税 調査	30	390	記事	Know（相続税の時効・調査を知りたい）	相続・贈与	解説	解説記事	時効・調査	相続税_時効・調査		権威構築	補足
355	＋α	相続税 チェックリスト	29	140	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
356	＋α	相続税 地方税	33	70	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
357	＋α	相続税 直接税	33	110	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
358	＋α	相続税 調査 何年後	31	170	記事	Know（相続税の時効・調査を知りたい）	相続・贈与	解説	解説記事	時効・調査	相続税_時効・調査		権威構築	補足
359	＋α	相続税 弔慰金	32	590	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
360	＋α	相続税 遅延金	N/A	40	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
361	＋α	相続税 チェスター	30	170	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
362	＋α	相続税 妻	42	880	記事	Know（親族間の相続税を知りたい）	相続・贈与	解説	解説記事	親族間	相続税_親族間		権威構築	補足
363	＋α	相続税 追徴課税	30	590	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
364	＋α	相続税 妻 子供2人	52	0	削除			解説		検索なし			対象外	不要
365	＋α	相続税 妻 控除	48	140	記事	Know（親族間の相続税を知りたい）	控除・特例	解説	解説記事	親族間	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
366	＋α	相続税 追徴課税 いくら	30	140	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
367	＋α	相続税 使い道	33	70	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
368	＋α	相続税 追徴課税 時効	33	90	記事	Know（相続税の時効・調査を知りたい）	相続・贈与	解説	解説記事	時効・調査	相続税_時効・調査		権威構築	補足
369	＋α	相続税 妻のみ	52	90	記事	Know（親族間の相続税を知りたい）	相続・贈与	解説	解説記事	親族間	相続税_親族間		権威構築	補足
370	＋α	相続税 通知	33	50	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
371	＋α	相続税 妻と子供2人	N/A	0	削除			解説		検索なし			対象外	不要
372	＋α	相続税 添付書類	27	590	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
373	＋α	相続税 手続き	47	590	記事	Do（相続税の申告をしたい）	確定申告	解説	ハウツー記事	申告	相続税_申告		権威構築	補足
374	＋α	相続税 提出書類	N/A	170	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
375	＋α	相続税 手続き 期限	33	90	記事	Do（相続税の申告をしたい）	確定申告	解説	ハウツー記事	申告	相続税_申告		権威構築	補足
376	＋α	相続税 添付資料	N/A	70	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
377	＋α	相続税 提出先	30	70	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
378	＋α	相続税 定期預金 経過利息	28	50	記事	Know（預金の相続税を知りたい）	相続・贈与	解説	解説記事	預金	相続税_預金		権威構築	補足
379	＋α	相続税 手引き	49	70	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
380	＋α	相続税 添付書類 電子申告	33	40	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
381	＋α	相続税 手続き 流れ	33	90	記事	Do（相続税の申告をしたい）	確定申告	解説	ハウツー記事	申告	相続税_申告		権威構築	補足
382	＋α	相続税 土地	33	2900	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税不動産	相続税の相続時の計算・手続き	権威構築	必須	計算ツール
383	＋α	相続税 土地 計算	32	1900	計算ページ	Do（相続税を計算したい）	その他	実務ガイド	計算ツール		相続税不動産	相続税の相続時の計算・手続き	ツール集客	必須	計算ツール
384	＋α	相続税 土地 評価	30	1000	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税不動産	相続税の相続時の計算・手続き	権威構築	必須	計算ツール
385	＋α	相続税 とは	33	5400	記事	Know（相続税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	相続税基礎解説		権威構築	補足
386	＋α	相続税 土地評価額	40	1600	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税不動産	相続税の相続時の計算・手続き	権威構築	必須	計算ツール
387	＋α	相続税 特例	30	320	記事	Know（相続税の控除・軽減を知りたい）	控除・特例	解説	解説記事	控除・特例	相続税_控除・特例		権威構築	補足
388	＋α	相続税 土地建物	42	590	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税不動産	相続税の相続時の計算・手続き	権威構築	必須	計算ツール
389	＋α	相続税 特例一覧	50	170	記事	Know（相続税の金額・相場を知りたい）	税金	データ一覧	ガイド記事	相場ガイド	相続税税率	相続税の税率一覧と計算方法	権威構築	必須	解説記事
390	＋α	相続税 土地 現金	33	110	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税不動産	相続税の相続時の計算・手続き	権威構築	必須	計算ツール
391	＋α	相続税 土地 計算方法	49	140	計算ページ	Do（相続税を計算したい）	その他	実務ガイド	計算ツール		相続税不動産	相続税の相続時の計算・手続き	ツール集客	必須	計算ツール
392	＋α	相続税 何パーセント	49	1000	記事	Know（相続税の具体例を知りたい）	具体例	解説	ガイド記事	具体例・ケース	相続税_具体例・ケース		権威構築	補足
393	＋α	相続税 なぜ	39	590	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
394	＋α	相続税 なんのため	48	320	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
395	＋α	相続税 なぜ必要	30	140	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
396	＋α	相続税 ない国	28	480	記事	Know（海外の相続税を知りたい）	相続・贈与	解説	解説記事	海外	相続税_海外		権威構築	補足
397	＋α	相続税 なぜある	43	170	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
398	＋α	相続税 何に使われる	55	170	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
399	＋α	相続税 何年前までさかのぼる	30	590	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
400	＋α	相続税 なぜかかる	45	90	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
401	＋α	相続税 二重課税	30	170	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
402	＋α	相続税 日露戦争	34	0	削除			解説		検索なし			対象外	不要
403	＋α	相続税 二割加算	23	260	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
404	＋α	相続税 二割加算とは	31	140	記事	Know（相続税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	相続税基礎解説		権威構築	補足
405	＋α	相続税 日本だけ	33	320	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
406	＋α	相続税 二次相続	40	480	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
407	＋α	相続税 抜け穴	32	70	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
408	＋α	相続税 年末調整	30	110	記事	Do（相続税の申告をしたい）	確定申告	解説	ハウツー記事	申告・届出	相続税_申告・届出		権威構築	補足
409	＋α	相続税 年間	77	210	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
410	＋α	相続税 年間いくら	55	40	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
411	＋α	相続税 年金	33	210	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
412	＋α	相続税 年間100万	33	20	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
413	＋α	相続税 ネットバンキング	33	40	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
414	＋α	相続税 年間いくらまで無税	N/A	10	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
415	＋α	相続税 年間いくらまで	57	110	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
416	＋α	相続税 年金 死亡後	33	30	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
417	＋α	相続税 年度	55	20	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
418	＋α	相続税 納付期限	29	1000	記事	Know（相続税の時期を知りたい）	時期・スケジュール	解説	ガイド記事	時期・スケジュール	相続税_時期・スケジュール		権威構築	補足
419	＋α	相続税 納付書	39	4400	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
420	＋α	相続税 納付方法	33	880	記事	Do（支払い方法を知りたい）	手続き・対策	ハウツー	ガイド記事	支払い方法	相続税_支払い方法		権威構築	補足
421	＋α	相続税 納付書 書き方	28	880	記事	Do（相続税の申告をしたい）	確定申告	解説	ハウツー記事	申告・届出	相続税_申告・届出		権威構築	補足
422	＋α	相続税 納税方法	33	210	記事	Do（相続税の手続き・対策を知りたい）	手続き・対策	ハウツー	ハウツー記事	手続き・対策	相続税_手続き・対策		権威構築	補足
423	＋α	相続税 納付 金融機関	33	210	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
424	＋α	相続税 納付	31	260	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
425	＋α	相続税 納税義務者	35	260	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
426	＋α	相続税 納税猶予	39	260	記事	Do（延納・分割について知りたい）	支払い方法	解説	ハウツー記事	延納・分割	相続税_延納・分割		権威構築	補足
427	＋α	相続税 納税地	28	140	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
428	＋α	相続税 配偶者	43	2900	記事	Know（配偶者控除を知りたい）	相続・贈与	解説	解説記事	配偶者控除	相続税配偶者		権威構築	補足
429	＋α	相続税 払えない場合	27	1000	記事	Know（相続税の滞納・困りごとを知りたい）	相続・贈与	解説	解説記事	滞納・困りごと	相続税_滞納・困りごと		権威構築	補足
430	＋α	相続税 払い方	29	720	記事	Do（支払い方法を知りたい）	手続き・対策	ハウツー	ガイド記事	支払い方法	相続税_支払い方法		権威構築	補足
431	＋α	相続税 配偶者の税額軽減	27	480	記事	Know（配偶者控除を知りたい）	相続・贈与	解説	解説記事	配偶者控除	相続税配偶者		権威構築	補足
432	＋α	相続税 配偶者 子供2人	53	0	削除			解説		検索なし			対象外	不要
433	＋α	相続税 払えない	27	480	記事	Know（相続税の滞納・困りごとを知りたい）	相続・贈与	解説	解説記事	滞納・困りごと	相続税_滞納・困りごと		権威構築	補足
434	＋α	相続税 配偶者特別控除	32	480	記事	Know（配偶者控除を知りたい）	控除・特例	解説	解説記事	配偶者控除	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
435	＋α	相続税 廃止	41	260	記事	Know（相続税の問題点を知りたい）	法律・制度	解説	解説記事	制度問題	相続税_制度問題		権威構築	補足
436	＋α	相続税 非課税	46	1300	記事	Know（相続税がかからないケースを知りたい）	具体例	解説	解説記事	非課税ケース	相続税_非課税ケース		権威構築	補足
437	＋α	相続税 必要書類	28	480	記事	Do（相続税の申告をしたい）	確定申告	解説	ハウツー記事	申告	相続税_申告		権威構築	補足
438	＋α	相続税 評価額	31	1900	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税_不動産評価		権威構築	補足
439	＋α	相続税 非課税限度額	56	260	記事	Know（相続税がかからないケースを知りたい）	具体例	解説	解説記事	非課税ケース	相続税_非課税ケース		権威構築	補足
440	＋α	相続税 ひどい	33	140	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
441	＋α	相続税 一人っ子	36	140	記事	Know（親族間の相続税を知りたい）	相続・贈与	解説	解説記事	親族間	相続税_親族間		権威構築	補足
442	＋α	相続税 評価額 土地	31	1600	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税不動産	相続税の相続時の計算・手続き	権威構築	必須	計算ツール
443	＋α	相続税 不動産	33	5400	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税不動産	相続税の相続時の計算・手続き	権威構築	必須	計算ツール
444	＋α	相続税 不動産 評価額	31	1900	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税不動産	相続税の相続時の計算・手続き	権威構築	必須	計算ツール
445	＋α	相続税 夫婦間	31	720	記事	Know（親族間の相続税を知りたい）	相続・贈与	解説	解説記事	親族間	相続税_親族間		権威構築	補足
446	＋α	相続税 ふるさと納税	26	390	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
447	＋α	相続税 不動産 計算方法	31	390	計算ページ	Do（相続税を計算したい）	その他	実務ガイド	計算ツール		相続税不動産	相続税の相続時の計算・手続き	ツール集客	必須	計算ツール
448	＋α	相続税 夫婦	33	720	記事	Know（親族間の相続税を知りたい）	相続・贈与	解説	解説記事	親族間	相続税_親族間		権威構築	補足
449	＋α	相続税 不動産 税率	33	210	記事	Know（税率・税額を知りたい）	その他	解説	ガイド記事	税率	相続税不動産	相続税の相続時の計算・手続き	権威構築	必須	計算ツール
450	＋α	相続税 振込	33	90	記事	Do（支払い方法を知りたい）	手続き・対策	ハウツー	ガイド記事	支払い方法	相続税_支払い方法		権威構築	補足
451	＋α	相続税 振込手数料	53	70	記事	Do（支払い方法を知りたい）	手続き・対策	ハウツー	ガイド記事	支払い方法	相続税_支払い方法		権威構築	補足
452	＋α	相続税 不動産 控除	53	170	記事	Know（不動産の相続税評価を知りたい）	控除・特例	解説	解説記事	不動産評価	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
453	＋α	相続税 減らす方法	32	480	記事	Do（相続税の手続き・対策を知りたい）	手続き・対策	ハウツー	ハウツー記事	手続き・対策	相続税_手続き・対策		権威構築	補足
454	＋α	相続税 変更	50	90	記事	Know（相続税の改正内容を知りたい）	法律・制度	解説	解説記事	法改正	相続税_法改正		権威構築	補足
455	＋α	相続税 平均額	53	110	記事	Know（相続税の金額・相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	相続税_相場ガイド		権威構築	補足
456	＋α	相続税 平均	33	90	記事	Know（相続税の金額・相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	相続税_相場ガイド		権威構築	補足
457	＋α	相続税 変更点	33	20	記事	Know（相続税の改正内容を知りたい）	法律・制度	解説	解説記事	法改正	相続税_法改正		権威構築	補足
458	＋α	相続税 変遷	33	20	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
459	＋α	相続税 減らす	76	20	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
460	＋α	相続税 返金	31	10	記事	Know（相続税の還付を知りたい）	控除・特例	解説	解説記事	還付	相続税_還付		権威構築	補足
461	＋α	相続税 平成27年改正	N/A	30	記事	Know（相続税の改正内容を知りたい）	法律・制度	解説	解説記事	法改正	相続税_法改正		権威構築	補足
462	＋α	相続税 返礼品	28	10	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
463	＋α	相続税 保険金	33	3600	記事	Know（保険の相続税を知りたい）	相続・贈与	解説	解説記事	生命保険	相続税保険		権威構築	補足
464	＋α	相続税 法定相続人	48	390	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
465	＋α	相続税 保険	33	720	記事	Know（保険の相続税を知りたい）	相続・贈与	解説	解説記事	生命保険	相続税保険		権威構築	補足
466	＋α	相続税 法定相続人以外 計算	48	170	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
467	＋α	相続税 保険料控除	57	210	記事	Know（保険の相続税を知りたい）	控除・特例	解説	解説記事	生命保険	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
468	＋α	相続税 法定相続人以外	30	480	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
469	＋α	相続税 報酬 相場	45	170	記事	Know（相続税の金額・相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	相続税_相場ガイド		権威構築	補足
470	＋α	相続税 保険金 控除	33	170	記事	Know（保険の相続税を知りたい）	控除・特例	解説	解説記事	生命保険	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
471	＋α	相続税 報酬	33	140	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
472	＋α	相続税 放棄	44	390	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
473	＋α	相続税 マンション	30	2400	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税_不動産評価		権威構築	補足
474	＋α	相続税 マンション 評価額	28	1300	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税_不動産評価		権威構築	補足
475	＋α	相続税 孫へ	49	170	記事	Know（親族間の相続税を知りたい）	相続・贈与	解説	解説記事	親族間	相続税_親族間		権威構築	補足
476	＋α	相続税 マンション 評価額 調べ方	29	110	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税_不動産評価		権威構築	補足
477	＋α	相続税 マンション いくら	32	30	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
478	＋α	相続税 マイナンバー	31	50	記事	Do（電子申告について知りたい）	確定申告	解説	ハウツー記事	電子申告	相続税_電子申告		権威構築	補足
479	＋α	相続税 孫の学費	33	40	記事	Know（親族間の相続税を知りたい）	相続・贈与	解説	解説記事	親族間	相続税_親族間		権威構築	補足
480	＋α	相続税 まとめて払う	33	50	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
481	＋α	相続税 間に合わない場合	N/A	20	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
482	＋α	相続税 毎年	51	30	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
483	＋α	相続税 未成年控除	30	0	削除			解説		検索なし			対象外	不要
484	＋α	相続税 未成年者控除	29	0	削除			解説		検索なし			対象外	不要
485	＋α	相続税 未分割	27	320	記事	Do（延納・分割について知りたい）	支払い方法	解説	ハウツー記事	延納・分割	相続税_延納・分割		権威構築	補足
486	＋α	相続税 未支給年金	25	390	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
487	＋α	相続税 見直し	50	50	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
488	＋α	相続税 未分割 分割確定	27	50	記事	Do（延納・分割について知りたい）	支払い方法	解説	ハウツー記事	延納・分割	相続税_延納・分割		権威構築	補足
489	＋α	相続税 未収配当金	27	30	記事	Know（金融商品の相続税を知りたい）	相続・贈与	解説	解説記事	金融商品	相続税_金融商品		権威構築	補足
490	＋α	相続税 みなし相続財産	33	70	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
491	＋α	相続税 未分割申告	32	140	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
492	＋α	相続税 未分割 更正の請求	30	30	記事	Do（延納・分割について知りたい）	支払い方法	解説	ハウツー記事	延納・分割	相続税_延納・分割		権威構築	補足
493	＋α	相続税 無税	55	210	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
494	＋α	相続税 無申告加算税	27	260	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
495	＋α	相続税 無料相談	31	720	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
496	＋α	相続税 無申告	32	140	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
497	＋α	相続税 無税範囲	77	70	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
